Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1681324416.7962193,2508,1681324416,795788288,,2,/imu_driver,Current time 1681324416 793282985,driver.py,driver,56,"['/rosout', '/imu']"
1681324416.81939,2509,1681324416,819088935,,2,/imu_driver,Current time 1681324416 818009376,driver.py,driver,56,"['/rosout', '/imu']"
1681324416.8462214,2510,1681324416,845699548,,2,/imu_driver,Current time 1681324416 842883586,driver.py,driver,56,"['/rosout', '/imu']"
1681324416.870453,2511,1681324416,870007038,,2,/imu_driver,Current time 1681324416 868146181,driver.py,driver,56,"['/rosout', '/imu']"
1681324416.8963423,2512,1681324416,894419193,,2,/imu_driver,Current time 1681324416 892922401,driver.py,driver,56,"['/rosout', '/imu']"
1681324416.9202938,2513,1681324416,919421195,,2,/imu_driver,Current time 1681324416 917979240,driver.py,driver,56,"['/rosout', '/imu']"
1681324416.9446898,2514,1681324416,944016218,,2,/imu_driver,Current time 1681324416 942807912,driver.py,driver,56,"['/rosout', '/imu']"
1681324416.9700153,2515,1681324416,969197988,,2,/imu_driver,Current time 1681324416 967905521,driver.py,driver,56,"['/rosout', '/imu']"
1681324416.9947593,2516,1681324416,994106531,,2,/imu_driver,Current time 1681324416 992878913,driver.py,driver,56,"['/rosout', '/imu']"
1681324417.021802,2517,1681324417,20785331,,2,/imu_driver,Current time 1681324417 17952919,driver.py,driver,56,"['/rosout', '/imu']"
1681324417.0478356,2518,1681324417,46659231,,2,/imu_driver,Current time 1681324417 42863130,driver.py,driver,56,"['/rosout', '/imu']"
1681324417.0733137,2519,1681324417,71706533,,2,/imu_driver,Current time 1681324417 68024158,driver.py,driver,56,"['/rosout', '/imu']"
1681324417.0978816,2520,1681324417,96678972,,2,/imu_driver,Current time 1681324417 93027830,driver.py,driver,56,"['/rosout', '/imu']"
1681324417.122018,2521,1681324417,120967864,,2,/imu_driver,Current time 1681324417 118014812,driver.py,driver,56,"['/rosout', '/imu']"
1681324417.1457639,2522,1681324417,144661188,,2,/imu_driver,Current time 1681324417 142762422,driver.py,driver,56,"['/rosout', '/imu']"
1681324417.1707547,2523,1681324417,169229269,,2,/imu_driver,Current time 1681324417 167790174,driver.py,driver,56,"['/rosout', '/imu']"
1681324417.1956923,2524,1681324417,194501399,,2,/imu_driver,Current time 1681324417 192684650,driver.py,driver,56,"['/rosout', '/imu']"
1681324417.219271,2525,1681324417,218951463,,2,/imu_driver,Current time 1681324417 217728137,driver.py,driver,56,"['/rosout', '/imu']"
1681324417.2469041,2526,1681324417,245819568,,2,/imu_driver,Current time 1681324417 242653369,driver.py,driver,56,"['/rosout', '/imu']"
1681324417.2698622,2527,1681324417,269475936,,2,/imu_driver,Current time 1681324417 267677783,driver.py,driver,56,"['/rosout', '/imu']"
1681324417.3016126,2528,1681324417,300298452,,2,/imu_driver,Current time 1681324417 293615579,driver.py,driver,56,"['/rosout', '/imu']"
1681324417.3193693,2529,1681324417,319020271,,2,/imu_driver,Current time 1681324417 317658662,driver.py,driver,56,"['/rosout', '/imu']"
