Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1681490238.6752057,56624,1681490238,674623489,,2,/imu_driver,Current time 1681490238 665304899,driver.py,driver,56,"['/imu', '/rosout']"
1681490238.6920493,56625,1681490238,691231250,,2,/imu_driver,Current time 1681490238 690183877,driver.py,driver,56,"['/imu', '/rosout']"
1681490238.7173154,56626,1681490238,716785669,,2,/imu_driver,Current time 1681490238 715502023,driver.py,driver,56,"['/imu', '/rosout']"
1681490238.742407,56627,1681490238,741700887,,2,/imu_driver,Current time 1681490238 740278482,driver.py,driver,56,"['/imu', '/rosout']"
1681490238.766893,56628,1681490238,766498565,,2,/imu_driver,Current time 1681490238 765251874,driver.py,driver,56,"['/imu', '/rosout']"
1681490238.7914891,56629,1681490238,791155099,,2,/imu_driver,Current time 1681490238 790222406,driver.py,driver,56,"['/imu', '/rosout']"
1681490238.816666,56630,1681490238,816207170,,2,/imu_driver,Current time 1681490238 815127611,driver.py,driver,56,"['/imu', '/rosout']"
1681490238.8415294,56631,1681490238,841173410,,2,/imu_driver,Current time 1681490238 840162754,driver.py,driver,56,"['/imu', '/rosout']"
1681490238.866558,56632,1681490238,866184949,,2,/imu_driver,Current time 1681490238 865060091,driver.py,driver,56,"['/imu', '/rosout']"
1681490238.8917544,56633,1681490238,891324758,,2,/imu_driver,Current time 1681490238 890016078,driver.py,driver,56,"['/imu', '/rosout']"
1681490238.9165707,56634,1681490238,915974855,,2,/imu_driver,Current time 1681490238 914988040,driver.py,driver,56,"['/imu', '/rosout']"
1681490238.9413195,56635,1681490238,941042661,,2,/imu_driver,Current time 1681490238 940034866,driver.py,driver,56,"['/imu', '/rosout']"
1681490238.9668298,56636,1681490238,966050386,,2,/imu_driver,Current time 1681490238 965079069,driver.py,driver,56,"['/imu', '/rosout']"
1681490238.9925086,56637,1681490238,991453409,,2,/imu_driver,Current time 1681490238 990020751,driver.py,driver,56,"['/imu', '/rosout']"
1681490239.0171304,56638,1681490239,16485214,,2,/imu_driver,Current time 1681490239 15227079,driver.py,driver,56,"['/imu', '/rosout']"
1681490239.0414708,56639,1681490239,41077136,,2,/imu_driver,Current time 1681490239 40084838,driver.py,driver,56,"['/imu', '/rosout']"
1681490239.066571,56640,1681490239,66027879,,2,/imu_driver,Current time 1681490239 64971446,driver.py,driver,56,"['/imu', '/rosout']"
1681490239.0915418,56641,1681490239,90837478,,2,/imu_driver,Current time 1681490239 89823722,driver.py,driver,56,"['/imu', '/rosout']"
1681490239.1174242,56642,1681490239,116054058,,2,/imu_driver,Current time 1681490239 114954948,driver.py,driver,56,"['/imu', '/rosout']"
1681490239.1475976,56643,1681490239,144847393,,2,/imu_driver,Current time 1681490239 140576362,driver.py,driver,56,"['/imu', '/rosout']"
1681490239.1694672,56644,1681490239,168679475,,2,/imu_driver,Current time 1681490239 165788173,driver.py,driver,56,"['/imu', '/rosout']"
1681490239.1913493,56645,1681490239,190647602,,2,/imu_driver,Current time 1681490239 189669609,driver.py,driver,56,"['/imu', '/rosout']"
