Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1681489904.6839,43223,1681489904,667110204,,2,/imu_driver,Current time 1681489904 665477275,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.6921473,43224,1681489904,691182613,,2,/imu_driver,Current time 1681489904 689621210,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.7361724,43225,1681489904,716682434,,2,/imu_driver,Current time 1681489904 714591264,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.7426977,43226,1681489904,741780281,,2,/imu_driver,Current time 1681489904 740378618,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.7708488,43227,1681489904,769763469,,2,/imu_driver,Current time 1681489904 767903089,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.7931125,43228,1681489904,792417049,,2,/imu_driver,Current time 1681489904 790741205,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.8212614,43229,1681489904,818855524,,2,/imu_driver,Current time 1681489904 817237615,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.8409367,43230,1681489904,840674638,,2,/imu_driver,Current time 1681489904 839464187,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.8673403,43231,1681489904,866656541,,2,/imu_driver,Current time 1681489904 865258693,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.8930895,43232,1681489904,891960620,,2,/imu_driver,Current time 1681489904 890304565,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.917332,43233,1681489904,916712999,,2,/imu_driver,Current time 1681489904 915308475,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.9419694,43234,1681489904,941669940,,2,/imu_driver,Current time 1681489904 940433979,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.9671674,43235,1681489904,966527938,,2,/imu_driver,Current time 1681489904 965334415,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.9922867,43236,1681489904,991526842,,2,/imu_driver,Current time 1681489904 990446329,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.01667,43237,1681489905,16413211,,2,/imu_driver,Current time 1681489905 15354394,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.0421705,43238,1681489905,41411399,,2,/imu_driver,Current time 1681489905 40278673,driver.py,driver,56,"['/imu', '/rosout']"
