Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1681489904.6921842,43250,1681489904,691182613,,2,/imu_driver,Current time 1681489904 689621210,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.7193298,43251,1681489904,716682434,,2,/imu_driver,Current time 1681489904 714591264,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.7426872,43252,1681489904,741780281,,2,/imu_driver,Current time 1681489904 740378618,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.77083,43253,1681489904,769763469,,2,/imu_driver,Current time 1681489904 767903089,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.7940938,43254,1681489904,792417049,,2,/imu_driver,Current time 1681489904 790741205,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.8212461,43255,1681489904,818855524,,2,/imu_driver,Current time 1681489904 817237615,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.8410044,43256,1681489904,840674638,,2,/imu_driver,Current time 1681489904 839464187,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.8690279,43257,1681489904,866656541,,2,/imu_driver,Current time 1681489904 865258693,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.895142,43258,1681489904,891960620,,2,/imu_driver,Current time 1681489904 890304565,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.917339,43259,1681489904,916712999,,2,/imu_driver,Current time 1681489904 915308475,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.9421413,43260,1681489904,941669940,,2,/imu_driver,Current time 1681489904 940433979,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.967155,43261,1681489904,966527938,,2,/imu_driver,Current time 1681489904 965334415,driver.py,driver,56,"['/imu', '/rosout']"
1681489904.9919844,43262,1681489904,991526842,,2,/imu_driver,Current time 1681489904 990446329,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.0167933,43263,1681489905,16413211,,2,/imu_driver,Current time 1681489905 15354394,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.0418503,43264,1681489905,41411399,,2,/imu_driver,Current time 1681489905 40278673,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.0681925,43265,1681489905,67031145,,2,/imu_driver,Current time 1681489905 65132379,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.0931454,43266,1681489905,92065334,,2,/imu_driver,Current time 1681489905 90584516,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.1177974,43267,1681489905,116541862,,2,/imu_driver,Current time 1681489905 115184545,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.1419308,43268,1681489905,141257524,,2,/imu_driver,Current time 1681489905 140212297,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.171158,43269,1681489905,170352935,,2,/imu_driver,Current time 1681489905 165991783,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.1916702,43270,1681489905,191296339,,2,/imu_driver,Current time 1681489905 190124988,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.2169936,43271,1681489905,216375350,,2,/imu_driver,Current time 1681489905 215145826,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.2423682,43272,1681489905,241300821,,2,/imu_driver,Current time 1681489905 240156888,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.266627,43273,1681489905,266136407,,2,/imu_driver,Current time 1681489905 265137434,driver.py,driver,56,"['/imu', '/rosout']"
1681489905.2918675,43274,1681489905,291133642,,2,/imu_driver,Current time 1681489905 290029048,driver.py,driver,56,"['/imu', '/rosout']"
