Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1681490678.5453994,74179,1681490678,525411605,,2,/imu_driver,Current time 1681490678 523853778,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.5510983,74180,1681490678,550182342,,2,/imu_driver,Current time 1681490678 548836469,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.5751302,74181,1681490678,574740171,,2,/imu_driver,Current time 1681490678 573554515,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.601174,74182,1681490678,600300073,,2,/imu_driver,Current time 1681490678 598850011,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.6254945,74183,1681490678,624809503,,2,/imu_driver,Current time 1681490678 623494148,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.6530168,74184,1681490678,650590896,,2,/imu_driver,Current time 1681490678 649014472,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.6761205,74185,1681490678,675251245,,2,/imu_driver,Current time 1681490678 673956632,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.7009914,74186,1681490678,700327634,,2,/imu_driver,Current time 1681490678 698856115,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.7261012,74187,1681490678,725207805,,2,/imu_driver,Current time 1681490678 723550796,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.7500284,74188,1681490678,749457597,,2,/imu_driver,Current time 1681490678 748392820,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.775183,74189,1681490678,774482727,,2,/imu_driver,Current time 1681490678 773412942,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.800512,74190,1681490678,799816846,,2,/imu_driver,Current time 1681490678 798468828,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.8250105,74191,1681490678,824776172,,2,/imu_driver,Current time 1681490678 823517799,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.8497717,74192,1681490678,849292039,,2,/imu_driver,Current time 1681490678 848324775,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.8744721,74193,1681490678,874252557,,2,/imu_driver,Current time 1681490678 873240470,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.9004736,74194,1681490678,899771928,,2,/imu_driver,Current time 1681490678 898269176,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.9249232,74195,1681490678,924443960,,2,/imu_driver,Current time 1681490678 923367738,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.950116,74196,1681490678,949576139,,2,/imu_driver,Current time 1681490678 948363542,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.9744766,74197,1681490678,974295139,,2,/imu_driver,Current time 1681490678 973346710,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.999475,74198,1681490678,999302387,,2,/imu_driver,Current time 1681490678 998255252,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.0256536,74199,1681490679,25443077,,2,/imu_driver,Current time 1681490679 24205684,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.0507925,74200,1681490679,49790382,,2,/imu_driver,Current time 1681490679 48282623,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.0757217,74201,1681490679,75281620,,2,/imu_driver,Current time 1681490679 74248075,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.1005871,74202,1681490679,99760055,,2,/imu_driver,Current time 1681490679 98204135,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.1328404,74203,1681490679,132280349,,2,/imu_driver,Current time 1681490679 130628347,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.150502,74204,1681490679,150252342,,2,/imu_driver,Current time 1681490679 149047851,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.1752183,74205,1681490679,175035715,,2,/imu_driver,Current time 1681490679 174108266,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.200841,74206,1681490679,200538873,,2,/imu_driver,Current time 1681490679 199106454,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.2257624,74207,1681490679,225371599,,2,/imu_driver,Current time 1681490679 224170684,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.250043,74208,1681490679,249847412,,2,/imu_driver,Current time 1681490679 248953104,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.2756443,74209,1681490679,275005578,,2,/imu_driver,Current time 1681490679 273993253,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.3013475,74210,1681490679,300475358,,2,/imu_driver,Current time 1681490679 299006700,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.3255553,74211,1681490679,325001716,,2,/imu_driver,Current time 1681490679 324030637,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.3502185,74212,1681490679,350016593,,2,/imu_driver,Current time 1681490679 349008083,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.37523,74213,1681490679,375020742,,2,/imu_driver,Current time 1681490679 374051809,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.4000053,74214,1681490679,399811506,,2,/imu_driver,Current time 1681490679 398836851,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.4254384,74215,1681490679,425000190,,2,/imu_driver,Current time 1681490679 423948526,driver.py,driver,56,"['/imu', '/rosout']"
