Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1681490678.551725,74234,1681490678,550182342,,2,/imu_driver,Current time 1681490678 548836469,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.5752625,74235,1681490678,574740171,,2,/imu_driver,Current time 1681490678 573554515,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.6014466,74236,1681490678,600300073,,2,/imu_driver,Current time 1681490678 598850011,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.625483,74237,1681490678,624809503,,2,/imu_driver,Current time 1681490678 623494148,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.653033,74238,1681490678,650590896,,2,/imu_driver,Current time 1681490678 649014472,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.6757116,74239,1681490678,675251245,,2,/imu_driver,Current time 1681490678 673956632,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.701409,74240,1681490678,700327634,,2,/imu_driver,Current time 1681490678 698856115,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.72627,74241,1681490678,725207805,,2,/imu_driver,Current time 1681490678 723550796,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.7500396,74242,1681490678,749457597,,2,/imu_driver,Current time 1681490678 748392820,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.7748332,74243,1681490678,774482727,,2,/imu_driver,Current time 1681490678 773412942,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.8002975,74244,1681490678,799816846,,2,/imu_driver,Current time 1681490678 798468828,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.8254879,74245,1681490678,824776172,,2,/imu_driver,Current time 1681490678 823517799,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.8496456,74246,1681490678,849292039,,2,/imu_driver,Current time 1681490678 848324775,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.8747826,74247,1681490678,874252557,,2,/imu_driver,Current time 1681490678 873240470,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.9007468,74248,1681490678,899771928,,2,/imu_driver,Current time 1681490678 898269176,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.92528,74249,1681490678,924443960,,2,/imu_driver,Current time 1681490678 923367738,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.9502075,74250,1681490678,949576139,,2,/imu_driver,Current time 1681490678 948363542,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.9748027,74251,1681490678,974295139,,2,/imu_driver,Current time 1681490678 973346710,driver.py,driver,56,"['/imu', '/rosout']"
1681490678.9998982,74252,1681490678,999302387,,2,/imu_driver,Current time 1681490678 998255252,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.026167,74253,1681490679,25443077,,2,/imu_driver,Current time 1681490679 24205684,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.0509052,74254,1681490679,49790382,,2,/imu_driver,Current time 1681490679 48282623,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.0759795,74255,1681490679,75281620,,2,/imu_driver,Current time 1681490679 74248075,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.1005695,74256,1681490679,99760055,,2,/imu_driver,Current time 1681490679 98204135,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.1330917,74257,1681490679,132280349,,2,/imu_driver,Current time 1681490679 130628347,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.1511083,74258,1681490679,150252342,,2,/imu_driver,Current time 1681490679 149047851,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.1753395,74259,1681490679,175035715,,2,/imu_driver,Current time 1681490679 174108266,driver.py,driver,56,"['/imu', '/rosout']"
1681490679.2010322,74260,1681490679,200538873,,2,/imu_driver,Current time 1681490679 199106454,driver.py,driver,56,"['/imu', '/rosout']"
