Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1681489466.9795709,25714,1681489466,959742307,,2,/imu_driver,Current time 1681489466 958701133,driver.py,driver,56,"['/imu', '/rosout']"
1681489466.9852676,25715,1681489466,984593391,,2,/imu_driver,Current time 1681489466 983614683,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.0103416,25716,1681489467,9872198,,2,/imu_driver,Current time 1681489467 8629322,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.0349438,25717,1681489467,34584283,,2,/imu_driver,Current time 1681489467 33673048,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.0600338,25718,1681489467,59574604,,2,/imu_driver,Current time 1681489467 58543920,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.0849972,25719,1681489467,84797859,,2,/imu_driver,Current time 1681489467 83766698,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.1101344,25720,1681489467,109883785,,2,/imu_driver,Current time 1681489467 108531236,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.1349354,25721,1681489467,134417772,,2,/imu_driver,Current time 1681489467 133411645,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.1602278,25722,1681489467,159631729,,2,/imu_driver,Current time 1681489467 158543825,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.184983,25723,1681489467,184652805,,2,/imu_driver,Current time 1681489467 183498144,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.210009,25724,1681489467,209459304,,2,/imu_driver,Current time 1681489467 208552122,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.234859,25725,1681489467,234326362,,2,/imu_driver,Current time 1681489467 233389139,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.2601109,25726,1681489467,259446859,,2,/imu_driver,Current time 1681489467 258329153,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.2853038,25727,1681489467,284605503,,2,/imu_driver,Current time 1681489467 283586502,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.3098245,25728,1681489467,309466123,,2,/imu_driver,Current time 1681489467 308560132,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.335566,25729,1681489467,334884643,,2,/imu_driver,Current time 1681489467 333717346,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.3600216,25730,1681489467,359355688,,2,/imu_driver,Current time 1681489467 358309984,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.3846955,25731,1681489467,384309053,,2,/imu_driver,Current time 1681489467 383305788,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.4099452,25732,1681489467,409381866,,2,/imu_driver,Current time 1681489467 408436775,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.4344556,25733,1681489467,434228420,,2,/imu_driver,Current time 1681489467 433284521,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.459606,25734,1681489467,459152936,,2,/imu_driver,Current time 1681489467 458270788,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.4848216,25735,1681489467,484279870,,2,/imu_driver,Current time 1681489467 483286619,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.510145,25736,1681489467,509658575,,2,/imu_driver,Current time 1681489467 508357286,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.5348618,25737,1681489467,534394979,,2,/imu_driver,Current time 1681489467 533297777,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.5595376,25738,1681489467,559173583,,2,/imu_driver,Current time 1681489467 558215856,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.5848393,25739,1681489467,584274530,,2,/imu_driver,Current time 1681489467 583140373,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.6123276,25740,1681489467,611734390,,2,/imu_driver,Current time 1681489467 610725164,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.634387,25741,1681489467,634165525,,2,/imu_driver,Current time 1681489467 633087158,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.6603303,25742,1681489467,659857988,,2,/imu_driver,Current time 1681489467 658415079,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.6853397,25743,1681489467,684630632,,2,/imu_driver,Current time 1681489467 683511495,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.709605,25744,1681489467,709017515,,2,/imu_driver,Current time 1681489467 708059072,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.7346215,25745,1681489467,734082698,,2,/imu_driver,Current time 1681489467 733077287,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.75963,25746,1681489467,759105682,,2,/imu_driver,Current time 1681489467 758048057,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.7840047,25747,1681489467,783681631,,2,/imu_driver,Current time 1681489467 782924652,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.8093085,25748,1681489467,809100151,,2,/imu_driver,Current time 1681489467 808116436,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.8343637,25749,1681489467,834141731,,2,/imu_driver,Current time 1681489467 833176136,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.8591244,25750,1681489467,858931303,,2,/imu_driver,Current time 1681489467 857923507,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.8842077,25751,1681489467,884039878,,2,/imu_driver,Current time 1681489467 883081912,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.9098678,25752,1681489467,909199953,,2,/imu_driver,Current time 1681489467 907935380,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.9346206,25753,1681489467,934144258,,2,/imu_driver,Current time 1681489467 933031320,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.959385,25754,1681489467,959108829,,2,/imu_driver,Current time 1681489467 958070755,driver.py,driver,56,"['/imu', '/rosout']"
1681489467.9842021,25755,1681489467,983816146,,2,/imu_driver,Current time 1681489467 982843637,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.0095053,25756,1681489468,9039163,,2,/imu_driver,Current time 1681489468 7894992,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.034686,25757,1681489468,34098386,,2,/imu_driver,Current time 1681489468 33019065,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.0594947,25758,1681489468,58935880,,2,/imu_driver,Current time 1681489468 57902097,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.0841792,25759,1681489468,83862066,,2,/imu_driver,Current time 1681489468 82805871,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.1095684,25760,1681489468,109306097,,2,/imu_driver,Current time 1681489468 107938528,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.1359253,25761,1681489468,135280847,,2,/imu_driver,Current time 1681489468 134026050,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.1598647,25762,1681489468,159626007,,2,/imu_driver,Current time 1681489468 158628702,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.1848726,25763,1681489468,184710502,,2,/imu_driver,Current time 1681489468 183739662,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.2150054,25764,1681489468,214268207,,2,/imu_driver,Current time 1681489468 209293127,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.2395413,25765,1681489468,238867282,,2,/imu_driver,Current time 1681489468 234077692,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.267926,25766,1681489468,267302513,,2,/imu_driver,Current time 1681489468 266285657,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.28509,25767,1681489468,284666776,,2,/imu_driver,Current time 1681489468 283679246,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.3102956,25768,1681489468,309599637,,2,/imu_driver,Current time 1681489468 308678865,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.3350806,25769,1681489468,334514141,,2,/imu_driver,Current time 1681489468 333562850,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.3608558,25770,1681489468,360506296,,2,/imu_driver,Current time 1681489468 359298229,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.385318,25771,1681489468,384770154,,2,/imu_driver,Current time 1681489468 383680105,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.4097707,25772,1681489468,409507036,,2,/imu_driver,Current time 1681489468 408466100,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.4416559,25773,1681489468,439038038,,2,/imu_driver,Current time 1681489468 433990240,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.464439,25774,1681489468,463538408,,2,/imu_driver,Current time 1681489468 459114551,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.4863722,25775,1681489468,485918998,,2,/imu_driver,Current time 1681489468 483808755,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.5095794,25776,1681489468,509391069,,2,/imu_driver,Current time 1681489468 508380889,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.5353615,25777,1681489468,535165071,,2,/imu_driver,Current time 1681489468 533462524,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.5596461,25778,1681489468,559463977,,2,/imu_driver,Current time 1681489468 558477878,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.5847178,25779,1681489468,584553956,,2,/imu_driver,Current time 1681489468 583471298,driver.py,driver,56,"['/imu', '/rosout']"
1681489468.6095963,25780,1681489468,609418153,,2,/imu_driver,Current time 1681489468 608399868,driver.py,driver,56,"['/imu', '/rosout']"
