Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1681487736.6977725,4398,1681487736,683555841,,2,/imu_driver,Current time 1681487736 682666301,driver.py,driver,56,"['/imu', '/rosout']"
1681487736.708725,4399,1681487736,708291053,,2,/imu_driver,Current time 1681487736 707440614,driver.py,driver,56,"['/imu', '/rosout']"
1681487736.7341516,4400,1681487736,733746528,,2,/imu_driver,Current time 1681487736 732643842,driver.py,driver,56,"['/imu', '/rosout']"
1681487736.7587922,4401,1681487736,758380174,,2,/imu_driver,Current time 1681487736 757454156,driver.py,driver,56,"['/imu', '/rosout']"
1681487736.7840357,4402,1681487736,783579349,,2,/imu_driver,Current time 1681487736 782564163,driver.py,driver,56,"['/imu', '/rosout']"
1681487736.8088057,4403,1681487736,808368206,,2,/imu_driver,Current time 1681487736 807406187,driver.py,driver,56,"['/imu', '/rosout']"
1681487736.8495848,4404,1681487736,848917722,,2,/imu_driver,Current time 1681487736 832426071,driver.py,driver,56,"['/imu', '/rosout']"
1681487736.8588016,4405,1681487736,858574628,,2,/imu_driver,Current time 1681487736 857499361,driver.py,driver,56,"['/imu', '/rosout']"
1681487736.885909,4406,1681487736,885598182,,2,/imu_driver,Current time 1681487736 884524583,driver.py,driver,56,"['/imu', '/rosout']"
1681487736.9088311,4407,1681487736,908542633,,2,/imu_driver,Current time 1681487736 907521247,driver.py,driver,56,"['/imu', '/rosout']"
1681487736.933499,4408,1681487736,933188199,,2,/imu_driver,Current time 1681487736 932208538,driver.py,driver,56,"['/imu', '/rosout']"
1681487736.958585,4409,1681487736,958325862,,2,/imu_driver,Current time 1681487736 957335948,driver.py,driver,56,"['/imu', '/rosout']"
1681487736.9835844,4410,1681487736,983336925,,2,/imu_driver,Current time 1681487736 982371807,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.0084915,4411,1681487737,8128404,,2,/imu_driver,Current time 1681487737 7191181,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.0334961,4412,1681487737,33213615,,2,/imu_driver,Current time 1681487737 32264232,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.0585916,4413,1681487737,58206558,,2,/imu_driver,Current time 1681487737 57290315,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.0837562,4414,1681487737,83110332,,2,/imu_driver,Current time 1681487737 82231998,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.1084576,4415,1681487737,108164310,,2,/imu_driver,Current time 1681487737 107290029,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.1335971,4416,1681487737,133175134,,2,/imu_driver,Current time 1681487737 132189035,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.1586556,4417,1681487737,158151865,,2,/imu_driver,Current time 1681487737 157275915,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.183343,4418,1681487737,182942390,,2,/imu_driver,Current time 1681487737 182064533,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.2085352,4419,1681487737,207946062,,2,/imu_driver,Current time 1681487737 207056283,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.2333012,4420,1681487737,233049392,,2,/imu_driver,Current time 1681487737 232108831,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.2584715,4421,1681487737,258017301,,2,/imu_driver,Current time 1681487737 257087945,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.2834895,4422,1681487737,282984018,,2,/imu_driver,Current time 1681487737 282075881,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.3084972,4423,1681487737,308152675,,2,/imu_driver,Current time 1681487737 307253360,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.333742,4424,1681487737,333213329,,2,/imu_driver,Current time 1681487737 332174777,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.3587706,4425,1681487737,358105421,,2,/imu_driver,Current time 1681487737 357114076,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.3836973,4426,1681487737,383461475,,2,/imu_driver,Current time 1681487737 382074117,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.4081666,4427,1681487737,408060073,,2,/imu_driver,Current time 1681487737 407028436,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.4329963,4428,1681487737,432852506,,2,/imu_driver,Current time 1681487737 431929826,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.4582455,4429,1681487737,458119392,,2,/imu_driver,Current time 1681487737 457099437,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.4835458,4430,1681487737,482969045,,2,/imu_driver,Current time 1681487737 481985569,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.5081122,4431,1681487737,507987022,,2,/imu_driver,Current time 1681487737 506992816,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.533683,4432,1681487737,532987833,,2,/imu_driver,Current time 1681487737 532069921,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.5583928,4433,1681487737,557914018,,2,/imu_driver,Current time 1681487737 557013750,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.5830734,4434,1681487737,582950353,,2,/imu_driver,Current time 1681487737 581964969,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.6083183,4435,1681487737,608166456,,2,/imu_driver,Current time 1681487737 607143878,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.6330862,4436,1681487737,632930755,,2,/imu_driver,Current time 1681487737 631930112,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.6583884,4437,1681487737,658249139,,2,/imu_driver,Current time 1681487737 656898975,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.682968,4438,1681487737,682847023,,2,/imu_driver,Current time 1681487737 681890487,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.708097,4439,1681487737,707946300,,2,/imu_driver,Current time 1681487737 706930637,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.7329082,4440,1681487737,732734680,,2,/imu_driver,Current time 1681487737 731681585,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.758161,4441,1681487737,757657527,,2,/imu_driver,Current time 1681487737 756696224,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.784076,4442,1681487737,783602714,,2,/imu_driver,Current time 1681487737 781979799,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.8093657,4443,1681487737,808677673,,2,/imu_driver,Current time 1681487737 807676076,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.8338015,4444,1681487737,833610773,,2,/imu_driver,Current time 1681487737 832714796,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.8578465,4445,1681487737,857684850,,2,/imu_driver,Current time 1681487737 856686115,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.8841615,4446,1681487737,883652448,,2,/imu_driver,Current time 1681487737 882708787,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.9106386,4447,1681487737,909195184,,2,/imu_driver,Current time 1681487737 907573461,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.9341888,4448,1681487737,933668375,,2,/imu_driver,Current time 1681487737 932671546,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.9592674,4449,1681487737,958486557,,2,/imu_driver,Current time 1681487737 957524776,driver.py,driver,56,"['/imu', '/rosout']"
1681487737.9843788,4450,1681487737,983780145,,2,/imu_driver,Current time 1681487737 982819795,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.0087738,4451,1681487738,8478403,,2,/imu_driver,Current time 1681487738 7518529,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.0338101,4452,1681487738,33650636,,2,/imu_driver,Current time 1681487738 32626152,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.0587773,4453,1681487738,58528184,,2,/imu_driver,Current time 1681487738 57573556,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.083879,4454,1681487738,83667039,,2,/imu_driver,Current time 1681487738 82685708,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.1090562,4455,1681487738,108304977,,2,/imu_driver,Current time 1681487738 107359409,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.133542,4456,1681487738,133360624,,2,/imu_driver,Current time 1681487738 132445812,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.158606,4457,1681487738,158443450,,2,/imu_driver,Current time 1681487738 157575130,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.1837409,4458,1681487738,183552980,,2,/imu_driver,Current time 1681487738 182572364,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.208542,4459,1681487738,208327770,,2,/imu_driver,Current time 1681487738 207399606,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.2340264,4460,1681487738,233415842,,2,/imu_driver,Current time 1681487738 232432603,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.2588708,4461,1681487738,258449316,,2,/imu_driver,Current time 1681487738 257483243,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.2840016,4462,1681487738,283325672,,2,/imu_driver,Current time 1681487738 282374382,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.308903,4463,1681487738,308409690,,2,/imu_driver,Current time 1681487738 307436227,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.333434,4464,1681487738,333172559,,2,/imu_driver,Current time 1681487738 332230329,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.358482,4465,1681487738,358279228,,2,/imu_driver,Current time 1681487738 357243299,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.3836725,4466,1681487738,383226394,,2,/imu_driver,Current time 1681487738 382329702,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.409025,4467,1681487738,408304452,,2,/imu_driver,Current time 1681487738 407396793,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.434067,4468,1681487738,433272600,,2,/imu_driver,Current time 1681487738 432461261,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.458372,4469,1681487738,458163738,,2,/imu_driver,Current time 1681487738 457248449,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.4839132,4470,1681487738,483234167,,2,/imu_driver,Current time 1681487738 482310295,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.508704,4471,1681487738,508070468,,2,/imu_driver,Current time 1681487738 507151842,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.5335975,4472,1681487738,533267498,,2,/imu_driver,Current time 1681487738 532227039,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.5585642,4473,1681487738,558368206,,2,/imu_driver,Current time 1681487738 557375907,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.5833998,4474,1681487738,583202600,,2,/imu_driver,Current time 1681487738 582165956,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.6084352,4475,1681487738,608262062,,2,/imu_driver,Current time 1681487738 607299089,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.6333935,4476,1681487738,633187055,,2,/imu_driver,Current time 1681487738 632246494,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.6583982,4477,1681487738,658258199,,2,/imu_driver,Current time 1681487738 657222032,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.6836143,4478,1681487738,683414697,,2,/imu_driver,Current time 1681487738 682134389,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.7081065,4479,1681487738,707963228,,2,/imu_driver,Current time 1681487738 706984281,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.7333808,4480,1681487738,733171463,,2,/imu_driver,Current time 1681487738 732182979,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.7581737,4481,1681487738,757973432,,2,/imu_driver,Current time 1681487738 756977319,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.783421,4482,1681487738,783116102,,2,/imu_driver,Current time 1681487738 782156705,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.808542,4483,1681487738,808083295,,2,/imu_driver,Current time 1681487738 807116746,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.8333688,4484,1681487738,832886934,,2,/imu_driver,Current time 1681487738 831985712,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.8582957,4485,1681487738,858071088,,2,/imu_driver,Current time 1681487738 857067584,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.8834991,4486,1681487738,882950305,,2,/imu_driver,Current time 1681487738 882031202,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.908358,4487,1681487738,908010244,,2,/imu_driver,Current time 1681487738 906990051,driver.py,driver,56,"['/imu', '/rosout']"
1681487738.9340286,4488,1681487738,933213949,,2,/imu_driver,Current time 1681487738 932004451,driver.py,driver,56,"['/imu', '/rosout']"
